1507904100,13-Oct-2017 10:15,89.0
1507904280,13-Oct-2017 10:18,99.0
1507904400,13-Oct-2017 10:20,99.0
1507904940,13-Oct-2017 10:29,73.0
1507905120,13-Oct-2017 10:32,67.0
1507905360,13-Oct-2017 10:36,94.0
1507905600,13-Oct-2017 10:40,78.0
1507905720,13-Oct-2017 10:42,83.0
1507906380,13-Oct-2017 10:53,89.0
1507906680,13-Oct-2017 10:58,100.0
1507906980,13-Oct-2017 11:03,89.0
1507907280,13-Oct-2017 11:08,73.0
1507907520,13-Oct-2017 11:12,88.0
1507907760,13-Oct-2017 11:16,98.0
1507908060,13-Oct-2017 11:21,101.0
1507908300,13-Oct-2017 11:25,98.0
1507908420,13-Oct-2017 11:27,92.0
1507908960,13-Oct-2017 11:36,89.0
1507909200,13-Oct-2017 11:40,98.0
1507909740,13-Oct-2017 11:49,94.0
1507909920,13-Oct-2017 11:52,97.0
1507910340,13-Oct-2017 11:59,93.0
1507910640,13-Oct-2017 12:04,90.0
1507910880,13-Oct-2017 12:08,89.0
1507911120,13-Oct-2017 12:12,88.0
1507911420,13-Oct-2017 12:17,88.0
1507911840,13-Oct-2017 12:24,91.0
1507911960,13-Oct-2017 12:26,93.0
1507912020,13-Oct-2017 12:27,98.0
1507912680,13-Oct-2017 12:38,94.0
1507913700,13-Oct-2017 12:55,101.0
1507914000,13-Oct-2017 13:00,94.0
1507917180,13-Oct-2017 13:53,113.0
1507917960,13-Oct-2017 14:06,113.0
1507918080,13-Oct-2017 14:08,102.0
1507918380,13-Oct-2017 14:13,98.0
1507918680,13-Oct-2017 14:18,94.0
1507919040,13-Oct-2017 14:24,103.0
1507919220,13-Oct-2017 14:27,105.0
1507919520,13-Oct-2017 14:32,116.0
1507919940,13-Oct-2017 14:39,109.0
1507920060,13-Oct-2017 14:41,107.0
1507920840,13-Oct-2017 14:54,115.0
1507921140,13-Oct-2017 14:59,106.0
1507921320,13-Oct-2017 15:02,105.0
1507921680,13-Oct-2017 15:08,80.0
1507922400,13-Oct-2017 15:20,89.0
1507922520,13-Oct-2017 15:22,115.0
1507922760,13-Oct-2017 15:26,106.0
1507922880,13-Oct-2017 15:28,89.0
