Start,Finish,Heart Rate (count/min)
06-Oct-2017 19:40,06-Oct-2017 19:40,97.0
06-Oct-2017 19:44,06-Oct-2017 19:44,98.0
06-Oct-2017 19:49,06-Oct-2017 19:49,89.0
06-Oct-2017 19:57,06-Oct-2017 19:57,87.0
06-Oct-2017 20:02,06-Oct-2017 20:02,89.0
06-Oct-2017 20:07,06-Oct-2017 20:07,82.0
06-Oct-2017 20:10,06-Oct-2017 20:10,86.0
13-Oct-2017 08:25,13-Oct-2017 08:25,99.0
13-Oct-2017 08:33,13-Oct-2017 08:33,82.0
13-Oct-2017 08:38,13-Oct-2017 08:38,88.0
13-Oct-2017 09:08,13-Oct-2017 09:08,99.0
13-Oct-2017 09:19,13-Oct-2017 09:19,82.0
13-Oct-2017 09:24,13-Oct-2017 09:24,77.0
13-Oct-2017 09:28,13-Oct-2017 09:28,82.0
13-Oct-2017 09:32,13-Oct-2017 09:32,116.0
13-Oct-2017 09:38,13-Oct-2017 09:38,104.0
13-Oct-2017 09:43,13-Oct-2017 09:43,103.0
13-Oct-2017 09:50,13-Oct-2017 09:50,102.0
13-Oct-2017 09:53,13-Oct-2017 09:53,93.0
13-Oct-2017 09:58,13-Oct-2017 09:58,98.0
13-Oct-2017 10:01,13-Oct-2017 10:01,101.0
13-Oct-2017 10:15,13-Oct-2017 10:15,89.0
13-Oct-2017 10:18,13-Oct-2017 10:18,99.0
13-Oct-2017 10:20,13-Oct-2017 10:20,99.0
13-Oct-2017 10:29,13-Oct-2017 10:29,73.0
13-Oct-2017 10:32,13-Oct-2017 10:32,67.0
13-Oct-2017 10:36,13-Oct-2017 10:36,94.0
13-Oct-2017 10:40,13-Oct-2017 10:40,78.0
13-Oct-2017 10:42,13-Oct-2017 10:42,83.0
13-Oct-2017 10:53,13-Oct-2017 10:53,89.0
13-Oct-2017 10:58,13-Oct-2017 10:58,100.0
13-Oct-2017 11:03,13-Oct-2017 11:03,89.0
13-Oct-2017 11:08,13-Oct-2017 11:08,73.0
13-Oct-2017 11:12,13-Oct-2017 11:12,88.0
13-Oct-2017 11:16,13-Oct-2017 11:16,98.0
13-Oct-2017 11:21,13-Oct-2017 11:21,101.0
13-Oct-2017 11:25,13-Oct-2017 11:25,98.0
13-Oct-2017 11:27,13-Oct-2017 11:27,92.0
13-Oct-2017 11:36,13-Oct-2017 11:36,89.0
13-Oct-2017 11:40,13-Oct-2017 11:40,98.0
13-Oct-2017 11:49,13-Oct-2017 11:49,94.0
13-Oct-2017 11:52,13-Oct-2017 11:52,97.0
13-Oct-2017 11:59,13-Oct-2017 11:59,93.0
13-Oct-2017 12:04,13-Oct-2017 12:04,90.0
13-Oct-2017 12:08,13-Oct-2017 12:08,89.0
13-Oct-2017 12:12,13-Oct-2017 12:12,88.0
13-Oct-2017 12:17,13-Oct-2017 12:17,88.0
13-Oct-2017 12:24,13-Oct-2017 12:24,91.0
13-Oct-2017 12:26,13-Oct-2017 12:26,93.0
13-Oct-2017 12:27,13-Oct-2017 12:27,98.0
13-Oct-2017 12:38,13-Oct-2017 12:38,94.0
13-Oct-2017 12:55,13-Oct-2017 12:55,101.0
13-Oct-2017 13:00,13-Oct-2017 13:00,94.0
13-Oct-2017 13:53,13-Oct-2017 13:53,113.0
13-Oct-2017 14:06,13-Oct-2017 14:06,113.0
13-Oct-2017 14:08,13-Oct-2017 14:08,102.0
13-Oct-2017 14:13,13-Oct-2017 14:13,98.0
13-Oct-2017 14:18,13-Oct-2017 14:18,94.0
13-Oct-2017 14:24,13-Oct-2017 14:24,103.0
13-Oct-2017 14:27,13-Oct-2017 14:27,105.0
13-Oct-2017 14:32,13-Oct-2017 14:32,116.0
13-Oct-2017 14:39,13-Oct-2017 14:39,109.0
13-Oct-2017 14:41,13-Oct-2017 14:41,107.0
13-Oct-2017 14:54,13-Oct-2017 14:54,115.0
13-Oct-2017 14:59,13-Oct-2017 14:59,106.0
13-Oct-2017 15:02,13-Oct-2017 15:02,105.0
13-Oct-2017 15:08,13-Oct-2017 15:08,80.0
13-Oct-2017 15:20,13-Oct-2017 15:20,89.0
13-Oct-2017 15:22,13-Oct-2017 15:22,115.0
13-Oct-2017 15:26,13-Oct-2017 15:26,106.0
13-Oct-2017 15:28,13-Oct-2017 15:28,89.0
13-Oct-2017 15:52,13-Oct-2017 15:52,90.0
13-Oct-2017 15:56,13-Oct-2017 15:56,94.0
13-Oct-2017 16:03,13-Oct-2017 16:03,107.0
13-Oct-2017 16:08,13-Oct-2017 16:08,104.0
13-Oct-2017 16:12,13-Oct-2017 16:12,116.0
13-Oct-2017 16:27,13-Oct-2017 16:27,74.0
13-Oct-2017 16:32,13-Oct-2017 16:32,90.0
13-Oct-2017 16:49,13-Oct-2017 16:49,103.0
13-Oct-2017 16:51,13-Oct-2017 16:51,112.0
13-Oct-2017 17:01,13-Oct-2017 17:01,106.0
13-Oct-2017 17:04,13-Oct-2017 17:04,90.0
13-Oct-2017 17:10,13-Oct-2017 17:10,103.0
13-Oct-2017 17:11,13-Oct-2017 17:11,105.0
13-Oct-2017 17:19,13-Oct-2017 17:19,106.0
13-Oct-2017 17:22,13-Oct-2017 17:22,104.0
13-Oct-2017 17:26,13-Oct-2017 17:26,103.0
13-Oct-2017 17:37,13-Oct-2017 17:37,82.0
13-Oct-2017 17:40,13-Oct-2017 17:40,97.0
13-Oct-2017 18:02,13-Oct-2017 18:02,90.0
13-Oct-2017 18:21,13-Oct-2017 18:21,98.0
13-Oct-2017 18:23,13-Oct-2017 18:23,97.0
13-Oct-2017 19:21,13-Oct-2017 19:21,65.0
13-Oct-2017 19:23,13-Oct-2017 19:23,73.0
13-Oct-2017 19:40,13-Oct-2017 19:40,98.0
13-Oct-2017 19:45,13-Oct-2017 19:45,83.0
13-Oct-2017 19:57,13-Oct-2017 19:57,106.0
13-Oct-2017 20:09,13-Oct-2017 20:09,93.0
13-Oct-2017 20:17,13-Oct-2017 20:17,81.0
13-Oct-2017 20:27,13-Oct-2017 20:27,88.0
13-Oct-2017 20:29,13-Oct-2017 20:29,85.0
13-Oct-2017 20:44,13-Oct-2017 20:44,106.0
13-Oct-2017 20:49,13-Oct-2017 20:49,112.0
13-Oct-2017 20:55,13-Oct-2017 20:55,102.0
13-Oct-2017 21:11,13-Oct-2017 21:11,104.0
13-Oct-2017 21:21,13-Oct-2017 21:21,99.0
13-Oct-2017 21:24,13-Oct-2017 21:24,102.0
13-Oct-2017 21:27,13-Oct-2017 21:27,116.0
13-Oct-2017 21:35,13-Oct-2017 21:35,99.0
13-Oct-2017 21:41,13-Oct-2017 21:41,113.0
13-Oct-2017 21:49,13-Oct-2017 21:49,104.0
13-Oct-2017 21:58,13-Oct-2017 21:58,100.0
13-Oct-2017 22:12,13-Oct-2017 22:12,106.0
13-Oct-2017 22:17,13-Oct-2017 22:17,115.0
13-Oct-2017 22:19,13-Oct-2017 22:19,104.0
13-Oct-2017 22:26,13-Oct-2017 22:26,103.0
